,Please enter a question,Potential generic question,Generic answer number,InScope
,When does winter break start?,When does (Event) start?,0,yes
,Where can I play squash?,Where can I play (Sport)?,0,yes?
,Tell me a joke.,Tell me a joke.,0,no
,How do you contact the Triangle?,How do you contact (Organization)?,0,yes?
,Where can I print in color?,Where can I (Activity)?,0,yes?
,What professors do research in AI?,What professors do research in (Topic)?,0,no
,What classes does Professor X teach?,What classes does Professor (Faculty) teach?,0,no
,Who is dean of Computer Science Department?,Who is dean of (Department) Department?,0,yes?
,How many professors are there in CS department?,How many professors are there in (Department) department?,0,yes?
,What classes does William Mongan teach?,What classes does (Faculty) teach?,0,no
,Why is Vokolos so nice?,Why is (Faculty) so nice?,0,no
,What is Mongan's favorite color?,What is (Faculty)'s favorite color?,0,no
,Does Mongan like students using laptops in class?,Does (Faculty) like students using laptops in class?,0,no
,What is this quarter last date?,What is this quarter last date?,0,no
,Who is the best professor in CS department?,Who is the best professor in (Department) department?,0,no
,Which professors went to the same school?,Which professors went to the same school?,0,no
,What class does Professor Moriety teach this quarter?,What class does Professor (Faculty) teach this quarter?,0,no
,,,,
,Where is Augenblick's office?,Where is (Faculty)'s office?,1,yes
,Where is Professor Marcello Balduccinni's office?,Where is Professor (Faculty)'s office?,1,yes
,Can I get the address of Marcello Balduccinni's office?,Can I get the address of (Faculty)'s office?,1,yes
,Can I get the address of Professor Marcello Balduccinni's office?,Can I get the address of Professor (Faculty)'s office?,1,yes
,What is David Augenblick's office?,What is (Faculty)'s office?,1,yes
,Where is Augenblick's office?,Where can I talk to (Faculty)?,1,yes
,Where is Professor Marcello Balduccinni's office?,Where is (Faculty)'s office?,1,yes
,Can I get the address of Professor Marcello Balduccinni's office?,How do I get to (Faculty)'s office?,1,yes
,What is David Augenblick's office?,How do I find (Faculty)'s office?,1,yes
,Where is David Augenblicks' office?,How do I get to (Faculty)'s office?,1,yes
,,,,
,What is Professor Marcello Balduccinni's email address?,What is Professor (Faculty)'s email address?,2,yes
,What is Professor Marcello Balduccinni's email address?,Can you give me (Faculty)'s email address?,2,yes
,,Do you know (Faculty)'s email address?,2,yes
,,What is Professor (Faculty)'s e-mail address?,2,yes
,,Can you give me (Faculty)'s e-mail address?,2,yes
,,Do you know (Faculty)'s e-mail address?,2,yes
,,What's (Faculty)'s email?,2,yes
,,What's (Faculty)'s e-mail?,2,yes
,,What is Professor (Faculty)'s email?,2,yes
,,Can you give me (Faculty)'s email?,2,yes
,,Do you know (Faculty)'s email?,2,yes
,,What is Professor (Faculty)'s e-mail?,2,yes
,,Can you give me (Faculty)'s e-mail?,2,yes
,,Do you know (Faculty)'s e-mail?,2,yes
,,What's (Faculty)'s email address?,2,yes
,,What's (Faculty)'s e-mail address?,2,yes
,,,,
,Who's office is at Rush 233C?,Who's office is at (Building) (Room)?,3,no
,Who's office is at Rush 233C?,Who is at (Building) (Room)?,3,no
,,What is at (Building) (Room)?,3,no
,,What's at (Building) (Room)?,3,no
,,What's in (Room) of (Building)?,3,no
,,Who's office is in (Room) of (Building)?,3,no
,,Who is in (Room) of (Building)?,3,no
,,What is in (Room) of (Building)?,3,no
,,What will I find in (Building) (Room)?,3,no
,,What should I expect to be in (Building) (Room)?,3,no
,,,,
,Where did Professor Marcello Balduccinni get his P.hd from?,Where did Professor (Faculty) get his P.hd from?,4,yes
,Where did Marcello Balduccinni get his P.hd from?,Where did (Faculty) get his P.hd from?,4,yes
,Does Augenblick have a PhD,Does (Faculty) have a PhD?,4,yes
,What is the highest degree earned by Mongan?,What is the highest degree earned by (Faculty)?,4,yes
,Where did Augenblick graduate from?,Where did (Faculty) graduate from?,4,yes
,,Where did (Faculty) go to college?,4,yes
,,Whats (Faculty)'s degree?,4,yes
,What is the education of Mongan?,What is the education of (Faculty)?,4,yes
,,How smart is (Faculty),4,yes
,,When did (Faculty) graduate?,4,yes
,,,,
,Does Professor Marcello Balduccinni have a website?,Does Professor (Faculty) have a website?,5,yes
,Do you have Professor Marcello Balduccinni's website?,Do you have Professor (Faculty)'s website?,5,yes
,Does Mongan have a website?,Does (Faculty) have a website?,5,yes
,Does Professor Marcello Balduccinni have a website?,What's (Faculty)'s website?,5,yes
,Do you have Professor Marcello Balduccinni's website?,Do you have (Faculty)'s website?,5,yes
,Does Mongan have a website?,How can I visit (Faculty)'s website?,5,yes
,,What is (Faculty)'s website?,5,yes
,,What is the website of (Faculty)?,5,yes
,,What's the website of (Faculty)?,5,yes
,,Give me professor (Faculty)'s website.,5,yes
,,,,
,Who is head of Computer Science Department?,Who is head of (Department) Department?,6,no
,Who is head of Computer Science Department?,Who leads the (Department) Department?,6,no
,Who is dean of Computer Science Department?,Who is dean of the (Department) Department?,6,no
,,Who is head of (Department)?,6,no
,,Who leads (Department)?,6,no
,,Who is dean of (Department)?,6,no
,,Tell me who is head of (Department) Department?,6,no
,,What is the name of (Department) Department's dean?,6,no
,,What is the name of (Department) Department's head?,6,no
,,,,
,in what department is marcello balduccini,In what department is (Faculty),6,yes
,,What department is (Faculty) in?,6,yes
,,Whats (Faculty)'s department?,6,yes
,,Do you know (Faculy)'s department?,6,yes
,,Which department is (Faculty),6,yes
,,In which department is (Faculty),6,yes
,,(Faculty)'s department?,6,yes
,,Tell me (Faculty)'s department.,6,yes
,,What department does (Faculty) work in?,6,yes
,,What is the department of (Faculty)?,6,yes
,,Department of (Faculty)?,6,yes
,,,,
,Who is Augenblick?,Who is (Faculty)?,7,yes
,Who is Dr. Exel?,Who is Dr. (Faculty)?,7,yes
,,What do you know about (Faculty)?,7,yes
,Who is Augenblick?,Can you tell me who (Faculty) is?,7,yes
,,Who's (Faculty)?,7,yes
,,What is (Faculty) like?,7,yes
,,What is the bio of (Faculty)?,7,yes
,,What is (Faculty)'s bio?,7,yes
,,Tell me about (Faculty),7,yes
,,(Faculty)?,7,yes
,,,,
,What does Mongan look like?,What does (Faculty) look like?,8,yes
,Show me Mongan's face.,Show me (Faculty)'s face.,8,yes
,What does Mongan's face look like?,What does (Faculty)'s face look like?,8,yes
,What does Mongan look like?,What does (Faculty)'s face look like?,8,yes
,Show me Mongan's face.,Show me (Faculty).,8,yes
,What does Mongan's face look like?,What does (Faculty) face look like?,8,yes
,,What does professor (Faculty) look like?,8,yes
,,Show me professor (Faculty)'s face.,8,yes
,,What does professor (Faculty)'s face look like?,8,yes
,,Show me professor (Faculty). ,8,yes
,,What does professor (Faculty) face look like?,8,yes
,,Do you have (Faculty)'s picture?,8,yes
,,Can you show me (Faculty)'s photo?,8,yes
,,Show me (Faculty)'s picture.,8,yes
,,Give me (Faculty)'s picture.,8,yes
,,Show me (Faculty) photo.,8,yes
,,Give me (Faculty) photo.,8,yes
,,What is (Faculty)'s picture?,8,yes
,,Do you have a picture of Vokolos?,8,yes
,,Do you have (Faculty)'s photo?,8,yes
,,Do you have (Faculty)'s picture?,8,yes
,,(Faculty)'s picture?,8,yes
,,(Faculty)'s picture?,8,yes
,,,,
,What is Mongan's research interestr?,What is (Faculty)'s research interest? ,9,yes
,,What is (Faculty)'s area of research?,9,yes
,,What does (Faculty) research?,9,yes
,,What is (Faculty) interested in?,9,yes
,,Where does (Faculty) specialize?,9,yes
,,What is (Faculty)'s interest? ,9,yes
,,What is (Faculty)'s interested in? ,9,yes
,,What are (Faculty)'s research interests? ,9,yes
,,What does (Faculty) research? ,9,yes
,,What is the focus of (Faculty) ? ,9,yes
,,What does (Faculty) currently research? ,9,yes
,,What is (Faculty)'s interest? ,9,yes
,,,,
,What is Mongan's position?,What is (Faculty)'s position?,10,yes
,What is Mongan's title?,What is (Faculty)'s title?,10,yes
,,Is (Faculty) full-time?,10,yes
,,What is professor (Faculty)'s position?,10,yes
,,What is professor (Faculty)'s title?,10,yes
,,Show me (Faculty)'s position.,10,yes
,,Show me professor (Faculty)'s position.,10,yes
,,What is (Faculty)?,10,yes
,,Give me (Faculty)'s position.,10,yes
,,Give me professor (Faculty)'s position.,10,yes
,,,,
,What is Mongan's phone number?,What is (faculty)'s phone number? ,11,yes
,What number should I use to call Mongan?,What number should I use to call (faculty)?,11,yes
,How can I call Mongan?,How can I call (faculty)?,11,yes
